,init_value,est_value
CONC2_init,0.6231703677661106,0.009051742611076897
CONC3_init,0.4550646474242846,0.03230828351972203
CONC4_init,0.14482771009786372,0.046256403254454626
CONC5_init,0.5854626795476809,0.06998756344233316
CONC6_init,0.4381922778008429,0.11290013597772129
ER_init,0.2655478145201688,0.025819936922817956
GREB1_init,0.9794721465457038,0.8344153195718149
PR_init,0.2843265913876261,0.7813967724970137
TFF1_init,0.803155249248513,0.9592714759583953
d_er,0.7991319327089846,0.027928548129323653
d_pr,0.18304529203392944,0.021659168723035457
d_greb1,0.12165728110062402,0.15495983137993044
d_tff1,0.5378747912950875,0.6517098044073002
b_e2er,0.07535682048709622,7.487415058979122
d_e2er,0.1115532216150152,0.35903400546855924
b_e2ergreb1,0.8118346719644711,0.036900591832708246
d_e2ergreb1,0.27356678305559645,9.621863834603659e-14
stim_pr,0.4161773754971595,63.5022447577693
stim_greb1,0.4540931306947536,673.3138826360424
stim_tff1,0.04952174289044408,952.1967002772384
s_er,0.21220773824414946,0.0007211133510450222
s_pr,0.05204464395355975,0.016924404535148173
s_greb1,0.11915991826254228,0.12930085722167922
s_tff1,0.4319969620670979,0.625166625970348
