treatment	medium	dose_uM	plateID	timeID	cell_line	imageNumber	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	1	C03_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.679857763
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	2	C03_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	8.226525167
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	3	C04_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.519572177
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	4	C04_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.337385494
DMSO	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	5	C05_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.885393546
DMSO	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	6	C05_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.097891259
DMSO	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	7	C06_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.474192688
DMSO	Comp_medium_NS	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	8	C06_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.450344518
17B-estradiol	Comp_medium_NS	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	9	C07_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	14.03258709
17B-estradiol	Comp_medium_NS	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	10	C07_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	12.57428455
17B-estradiol	Comp_medium_NS	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	11	C08_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	11.76866984
17B-estradiol	Comp_medium_NS	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	12	C08_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	13.79161088
Medium	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	13	D03_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.331527425
Medium	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	14	D03_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.057648147
Medium	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	15	D04_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.608527283
Medium	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	16	D04_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.73864572
DMSO	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	17	D05_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.541935145
DMSO	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	18	D05_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.364397594
DMSO	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	19	D06_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.316651521
DMSO	Comp_medium_S	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	20	D06_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.347420566
17B-estradiol	Comp_medium_S	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	21	D07_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	11.45238051
17B-estradiol	Comp_medium_S	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	22	D07_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	8.790498953
17B-estradiol	Comp_medium_S	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	23	D08_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	9.578967815
17B-estradiol	Comp_medium_S	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	24	D08_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	13.6748468
Medium	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	25	E03_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.858784433
Medium	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	26	E03_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.844762976
Medium	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	27	E04_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.5943151
Medium	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	28	E04_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.266272073
DMSO	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	29	E05_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.299638065
DMSO	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	30	E05_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.033780018
DMSO	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	31	E06_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.692152737
DMSO	Starv_medium_1	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	32	E06_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.014851784
17B-estradiol	Starv_medium_1	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	33	E07_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.846655796
17B-estradiol	Starv_medium_1	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	34	E07_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	11.32515005
17B-estradiol	Starv_medium_1	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	35	E08_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.751845653
17B-estradiol	Starv_medium_1	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	36	E08_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	10.00518253
Medium	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	37	F03_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.181882114
Medium	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	38	F03_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.00590577
Medium	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	39	F04_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.892177942
Medium	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	40	F04_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.431483891
DMSO	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	41	F05_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.351125362
DMSO	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	42	F05_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.356548368
DMSO	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	43	F06_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.126353829
DMSO	Starv_medium_2	0	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	44	F06_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.703357772
17B-estradiol	Starv_medium_2	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	45	F07_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.739122706
17B-estradiol	Starv_medium_2	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	46	F07_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.208906663
17B-estradiol	Starv_medium_2	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	47	F08_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.24747764
17B-estradiol	Starv_medium_2	1	20200217_Exp005-MT_t48	48	MCF7-GREB1-GFP	48	F08_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.486433931
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	24	MCF7-GREB1-GFP	49	G03_1	5	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.274928243
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	24	MCF7-GREB1-GFP	50	G03_2	5	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.51455521
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	24	MCF7-GREB1-GFP	51	G04_1	5	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.327834422
Medium	Comp_medium_NS	0	20200217_Exp005-MT_t48	24	MCF7-GREB1-GFP	52	G04_2	5	Nuclei_Intensity_IntegratedIntensity_Image_GFP	5.913890166
DMSO	Comp_medium_NS	0	20200217_Exp005-MT_t48	24	MCF7-GREB1-GFP	53	G05_1	5	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.119290045
