treatment	medium	dose_uM	plateID	timeID	cell_line	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C03_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	23.70879759
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C03_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	19.89561938
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C04_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	20.21859993
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C04_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	21.51286528
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C05_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.216699118
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C05_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	11.07231797
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C06_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.18005426
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C06_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	13.82441466
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C07_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	30.58555118
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C07_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	32.08214872
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C08_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	35.36234424
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	C08_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	39.47329456
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C09_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	18.38882114
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C09_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	28.72880783
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C10_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	13.0239125
Medium	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C10_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	22.74371857
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C11_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.31055073
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C11_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	13.01089097
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C12_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	15.22619756
DMSO	Comp_medium_NS	0	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C12_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.291412152
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C13_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	43.4990186
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C13_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	40.55715897
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C14_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	25.72903869
17B-estradiol	Comp_medium_NS	1	20200223_Exp007_MT_t48	48	MCF7-TFF1-GFP	C14_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	43.59441771
Medium	Comp_medium_S	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	D03_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.758136774
Medium	Comp_medium_S	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	D03_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.711662224
Medium	Comp_medium_S	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	D04_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.593063389
Medium	Comp_medium_S	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	D04_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.296543816
DMSO	Comp_medium_S	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	D05_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.828801963
DMSO	Comp_medium_S	0	20200223_Exp007_MT_t48	48	MCF7-PGR-GFP	D05_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.766232612
