treatment	medium	dose_uM	plateID	timeID	cell_line	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C03_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	14.83601384
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C03_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	15.34072272
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C04_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	15.02793114
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C04_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	17.2594891
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C05_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.762671853
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C05_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.41400213
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C06_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.281168474
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C06_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.31069149
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C07_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	24.13232907
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C07_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	26.89668925
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C08_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	25.05923185
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	C08_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	28.53694229
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C09_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	29.68079714
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C09_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	44.08452723
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C10_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	19.60007763
Medium	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C10_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	31.07931879
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C11_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	8.83108549
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C11_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	15.76998643
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C12_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	15.9236728
DMSO	Comp_medium_NS	0	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C12_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.43406229
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C13_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	32.70565477
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C13_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	37.7245255
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C14_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	16.93536624
17B-estradiol	Comp_medium_NS	1	20200222_Exp007_MT_t24	24	MCF7-TFF1-GFP	C14_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	38.90532919
Medium	Comp_medium_S	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	D03_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.590186208
Medium	Comp_medium_S	0	20200222_Exp007_MT_t24	24	MCF7-PGR-GFP	D03_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.88801612
