treatment	medium	dose_uM	plateID	timeID	cell_line	imageNumber	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	1	C03_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.32956484
Medium	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	2	C03_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.06291242
Medium	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	3	C04_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	5.719443722
Medium	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	4	C04_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.136022941
DMSO	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	5	C05_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.579417899
DMSO	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	6	C05_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.018738447
DMSO	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	7	C06_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.971076131
DMSO	Comp_medium_NS	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	8	C06_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.281732849
17B-estradiol	Comp_medium_NS	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	9	C07_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.661412838
17B-estradiol	Comp_medium_NS	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	10	C07_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.709105717
17B-estradiol	Comp_medium_NS	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	11	C08_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.480422299
17B-estradiol	Comp_medium_NS	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	12	C08_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.428699854
Medium	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	13	D03_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.474382038
Medium	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	14	D03_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.183893593
Medium	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	15	D04_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.190308335
Medium	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	16	D04_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.387178835
DMSO	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	17	D05_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.361268557
DMSO	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	18	D05_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.732798813
DMSO	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	19	D06_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.343943227
DMSO	Comp_medium_S	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	20	D06_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.747453163
17B-estradiol	Comp_medium_S	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	21	D07_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.969844286
17B-estradiol	Comp_medium_S	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	22	D07_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	5.395681171
17B-estradiol	Comp_medium_S	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	23	D08_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.93089146
17B-estradiol	Comp_medium_S	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	24	D08_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.102580981
Medium	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	25	E03_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.961602491
Medium	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	26	E03_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.959788386
Medium	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	27	E04_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.330457105
Medium	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	28	E04_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.900572567
DMSO	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	29	E05_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.770944816
DMSO	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	30	E05_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.946864925
DMSO	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	31	E06_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.442061297
DMSO	Starv_medium_1	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	32	E06_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.662196308
17B-estradiol	Starv_medium_1	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	33	E07_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.685109083
17B-estradiol	Starv_medium_1	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	34	E07_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.018204179
17B-estradiol	Starv_medium_1	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	35	E08_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.123687004
17B-estradiol	Starv_medium_1	1	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	36	E08_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.115796866
Medium	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	37	F03_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.572988981
Medium	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	38	F03_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.5819402
Medium	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	39	F04_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.360558512
Medium	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	40	F04_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.533803852
DMSO	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	41	F05_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.386428298
DMSO	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	42	F05_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.314813537
DMSO	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	43	F06_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.735642009
DMSO	Starv_medium_2	0	20200216_Exp005-MT_t24	24	MCF7-GREB1-GFP	44	F06_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.539955354
