treatment	medium	dose_uM	plateID	timeID	cell_line	locationID	control	variable	value
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D05_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.574910919
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D06_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.432594848
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D06_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.553225083
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D07_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.209415731
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D07_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.363642773
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D08_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	3.169125741
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D08_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.149445613
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D09_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.52435134
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D09_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	12.10394158
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D10_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	4.719680961
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D10_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.633475837
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D11_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.665006102
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D11_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.922624249
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D12_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	5.448516823
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D12_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	14.00386736
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D13_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.323317578
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D13_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	14.51127462
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D14_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.728548218
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D14_2	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.339102136
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E03_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.583986262
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E03_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.451278495
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E04_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.629191012
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E04_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.044369678
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E05_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.394040381
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E05_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.035434075
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E06_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.724654784
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E06_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.59219524
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E07_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.839306574
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E07_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.716546249
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E08_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.420722625
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	E08_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.019457751
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E09_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	12.70507146
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E09_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	12.19820231
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E10_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	12.86789819
Medium	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E10_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	16.55909122
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E11_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	12.99060535
