,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9266268158914408
1,0.001,2,GREB1,0.9266319502646256
2,0.001,3,GREB1,0.9266834545735269
3,0.001,4,GREB1,0.9268298381828035
4,0.001,5,GREB1,0.9270888162247944
5,0.001,6,GREB1,0.9274515737882748
6,0.001,7,GREB1,0.9278956405296623
7,0.001,8,GREB1,0.9283944736000913
8,0.001,9,GREB1,0.9289230908718689
9,0.001,10,GREB1,0.9294605454657692
10,0.001,11,GREB1,0.9299906182662953
11,0.001,12,GREB1,0.9305015552378405
12,0.001,13,GREB1,0.9309853825518241
13,0.001,14,GREB1,0.931437176303711
14,0.001,15,GREB1,0.931854331600409
15,0.001,16,GREB1,0.9322359674435432
16,0.001,17,GREB1,0.932582418397137
17,0.001,18,GREB1,0.9328948277251953
18,0.001,19,GREB1,0.9331748720103351
19,0.001,20,GREB1,0.9334245612236581
20,0.001,21,GREB1,0.9336460501352778
21,0.001,22,GREB1,0.9338415421390551
22,0.001,23,GREB1,0.9340132177128162
23,0.001,24,GREB1,0.9341631760348013
24,0.001,25,GREB1,0.9342934099318867
25,0.001,26,GREB1,0.9344057858754647
26,0.001,27,GREB1,0.9345020280475506
27,0.001,28,GREB1,0.9345837740256117
28,0.001,29,GREB1,0.9346524576836922
29,0.001,30,GREB1,0.9347094148034563
30,0.001,31,GREB1,0.9347558455676915
31,0.001,32,GREB1,0.9347928504272209
32,0.001,33,GREB1,0.9348214128406663
33,0.001,34,GREB1,0.934842425301433
34,0.001,35,GREB1,0.9348566970499574
35,0.001,36,GREB1,0.9348649514560026
36,0.001,37,GREB1,0.9348678268646871
37,0.001,38,GREB1,0.9348659142042938
38,0.001,39,GREB1,0.934859738564568
39,0.001,40,GREB1,0.9348497691644096
40,0.001,41,GREB1,0.9348364083821323
41,0.001,42,GREB1,0.934820063074088
42,0.001,43,GREB1,0.9348010596926456
43,0.001,44,GREB1,0.9347796930463496
44,0.001,45,GREB1,0.9347562484112939
45,0.001,46,GREB1,0.9347309563974875
46,0.001,47,GREB1,0.9347040393489622
47,0.001,48,GREB1,0.9346756845231995
48,0.001,49,GREB1,0.934646069124253
49,0.001,50,GREB1,0.934615342708326
50,0.001,51,GREB1,0.9345836463865467
51,0.001,52,GREB1,0.9345511060897862
52,0.001,53,GREB1,0.9345178328353246
53,0.001,54,GREB1,0.9344839322170894
54,0.001,55,GREB1,0.9344494683218342
55,0.001,1,PR,0.7953899471057319
56,0.001,2,PR,0.7953906113530277
57,0.001,3,PR,0.7953958662320381
58,0.001,4,PR,0.7954104150663552
59,0.001,5,PR,0.7954374624096878
60,0.001,6,PR,0.7954785170706368
61,0.001,7,PR,0.795533745617502
62,0.001,8,PR,0.7956023803759507
63,0.001,9,PR,0.7956830745572988
64,0.001,10,PR,0.7957741647820347
65,0.001,11,PR,0.7958738584916892
66,0.001,12,PR,0.7959803596697086
67,0.001,13,PR,0.7960919496496776
68,0.001,14,PR,0.7962070356754304
69,0.001,15,PR,0.7963241776273672
70,0.001,16,PR,0.7964420991978678
71,0.001,17,PR,0.7965596904527822
72,0.001,18,PR,0.7966759995493274
73,0.001,19,PR,0.7967902235324756
74,0.001,20,PR,0.796901697830082
75,0.001,21,PR,0.7970098821010209
76,0.001,22,PR,0.7971143470608744
77,0.001,23,PR,0.7972147613235037
