,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9221115733500412
1,0.001,2,GREB1,0.922117465454054
2,0.001,3,GREB1,0.9221795175350128
3,0.001,4,GREB1,0.9223646504067141
4,0.001,5,GREB1,0.9227077306429065
5,0.001,6,GREB1,0.9232094234780642
6,0.001,7,GREB1,0.9238482751804248
7,0.001,8,GREB1,0.924592101302102
8,0.001,9,GREB1,0.9254061396459744
9,0.001,10,GREB1,0.9262577215005077
10,0.001,11,GREB1,0.9271185710984704
11,0.001,12,GREB1,0.927965564051386
12,0.001,13,GREB1,0.9287807140905635
13,0.001,14,GREB1,0.9295506529876505
14,0.001,15,GREB1,0.9302659900644906
15,0.001,16,GREB1,0.9309206088926073
16,0.001,17,GREB1,0.9315110356987523
17,0.001,18,GREB1,0.9320358560284625
18,0.001,19,GREB1,0.9324952429746632
19,0.001,20,GREB1,0.9328905973277213
20,0.001,21,GREB1,0.9332242041065499
21,0.001,22,GREB1,0.9334989284569507
22,0.001,23,GREB1,0.9337180606547413
23,0.001,24,GREB1,0.9338851388573307
24,0.001,25,GREB1,0.9340038452241068
25,0.001,26,GREB1,0.9340778832992168
26,0.001,27,GREB1,0.9341109208728495
27,0.001,28,GREB1,0.9341065400648223
28,0.001,29,GREB1,0.9340681977765086
29,0.001,30,GREB1,0.9339991981813046
30,0.001,31,GREB1,0.9339026813865722
31,0.001,32,GREB1,0.9337816023752901
32,0.001,33,GREB1,0.9336387351682449
33,0.001,34,GREB1,0.9334766705784767
34,0.001,35,GREB1,0.9332978211368838
35,0.001,36,GREB1,0.9331044202966455
36,0.001,37,GREB1,0.9328985305505085
37,0.001,38,GREB1,0.9326820537113844
38,0.001,39,GREB1,0.9324567151388163
39,0.001,40,GREB1,0.9322241143141976
40,0.001,41,GREB1,0.9319857020230282
41,0.001,42,GREB1,0.9317427950528007
42,0.001,43,GREB1,0.9314966004027565
43,0.001,44,GREB1,0.9312482043756877
44,0.001,45,GREB1,0.9309985909672751
45,0.001,46,GREB1,0.9307486491027409
46,0.001,47,GREB1,0.9304991669210446
47,0.001,48,GREB1,0.9302508510088371
48,0.001,49,GREB1,0.9300043338205708
49,0.001,50,GREB1,0.929760165816598
50,0.001,51,GREB1,0.9295188414901964
51,0.001,52,GREB1,0.9292807950951577
52,0.001,53,GREB1,0.9290463957453516
53,0.001,54,GREB1,0.92881596397971
54,0.001,55,GREB1,0.9285897802104052
55,0.001,1,PR,0.786726951695841
56,0.001,2,PR,0.7867275907660365
57,0.001,3,PR,0.7867350115962792
58,0.001,4,PR,0.7867581484094884
59,0.001,5,PR,0.7868024489075236
60,0.001,6,PR,0.7868692390567525
61,0.001,7,PR,0.7869569918117192
62,0.001,8,PR,0.7870626257812446
63,0.001,9,PR,0.787182478907394
64,0.001,10,PR,0.7873128949044975
65,0.001,11,PR,0.7874505383995176
66,0.001,12,PR,0.7875925263949385
67,0.001,13,PR,0.7877364656677663
68,0.001,14,PR,0.7878804241391664
69,0.001,15,PR,0.7880228825280483
70,0.001,16,PR,0.7881626732457518
71,0.001,17,PR,0.7882989230324153
72,0.001,18,PR,0.7884309973009163
73,0.001,19,PR,0.7885584541843857
74,0.001,20,PR,0.7886810099031808
75,0.001,21,PR,0.7887985034610631
76,0.001,22,PR,0.7889108646454475
77,0.001,23,PR,0.7890180975107597
78,0.001,24,PR,0.7891202611258028
79,0.001,25,PR,0.7892174577636621
80,0.001,26,PR,0.7893098186452543
81,0.001,27,PR,0.7893974965577266
82,0.001,28,PR,0.7894806591644539
