,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9134238532167941
1,0.001,2,GREB1,0.9134408230528751
2,0.001,3,GREB1,0.9136127802132222
3,0.001,4,GREB1,0.9141073758399738
4,0.001,5,GREB1,0.9150013759282132
5,0.001,6,GREB1,0.9162888908220904
6,0.001,7,GREB1,0.9179148398529903
7,0.001,8,GREB1,0.9198023228412158
8,0.001,9,GREB1,0.9218702204350204
9,0.001,10,GREB1,0.9240429296621477
10,0.001,11,GREB1,0.9262551699887679
11,0.001,12,GREB1,0.9284536032439098
12,0.001,13,GREB1,0.9305966157147096
13,0.001,14,GREB1,0.9326533412761847
14,0.001,15,GREB1,0.9346020299861443
15,0.001,16,GREB1,0.9364285845546327
16,0.001,17,GREB1,0.9381250100899204
17,0.001,18,GREB1,0.9396880701338934
18,0.001,19,GREB1,0.9411182130946887
19,0.001,20,GREB1,0.9424184801309505
20,0.001,21,GREB1,0.9435938457857801
21,0.001,22,GREB1,0.9446506237924028
22,0.001,23,GREB1,0.945595772609192
23,0.001,24,GREB1,0.9464367734789002
24,0.001,25,GREB1,0.947181228907496
25,0.001,26,GREB1,0.9478366713258565
26,0.001,27,GREB1,0.9484104228279265
27,0.001,28,GREB1,0.9489094938966419
28,0.001,29,GREB1,0.94934052118463
29,0.001,30,GREB1,0.9497097391843262
30,0.001,31,GREB1,0.9500229360748049
31,0.001,32,GREB1,0.950285466668599
32,0.001,33,GREB1,0.9505022789174505
33,0.001,34,GREB1,0.950677841879021
34,0.001,35,GREB1,0.9508163410455472
35,0.001,36,GREB1,0.9509215215779232
36,0.001,37,GREB1,0.9509968004283933
37,0.001,38,GREB1,0.9510452843784989
38,0.001,39,GREB1,0.9510697811638577
39,0.001,40,GREB1,0.9510728084304567
40,0.001,41,GREB1,0.951056630896611
41,0.001,42,GREB1,0.9510232946670224
42,0.001,43,GREB1,0.9509747225599251
43,0.001,44,GREB1,0.9509125407568486
44,0.001,45,GREB1,0.9508382486757596
45,0.001,46,GREB1,0.9507532018984562
46,0.001,47,GREB1,0.9506585683533085
47,0.001,48,GREB1,0.950555482326516
48,0.001,49,GREB1,0.9504448979882784
49,0.001,50,GREB1,0.950327685442995
50,0.001,51,GREB1,0.950204630077006
51,0.001,52,GREB1,0.9500764295084368
52,0.001,53,GREB1,0.9499437057939076
53,0.001,54,GREB1,0.949807015983815
54,0.001,55,GREB1,0.9496668613861247
55,0.001,1,PR,0.794124048866393
56,0.001,2,PR,0.7941251693036443
57,0.001,3,PR,0.7941380112910844
58,0.001,4,PR,0.7941787942604313
59,0.001,5,PR,0.7942598731321474
60,0.001,6,PR,0.7943881951929749
61,0.001,7,PR,0.7945662147689477
62,0.001,8,PR,0.7947931255019722
63,0.001,9,PR,0.7950659246057274
64,0.001,10,PR,0.7953802266794053
65,0.001,11,PR,0.7957308674820185
66,0.001,12,PR,0.7961123401877365
67,0.001,13,PR,0.7965190929439502
68,0.001,14,PR,0.796945746756435
69,0.001,15,PR,0.7973872221031145
70,0.001,16,PR,0.7978388276934195
71,0.001,17,PR,0.7982963027977675
72,0.001,18,PR,0.7987558341721379
73,0.001,19,PR,0.7992140598071056
74,0.001,20,PR,0.7996680463117093
75,0.001,21,PR,0.8001152722277577
76,0.001,22,PR,0.8005536017095465
77,0.001,23,PR,0.8009812408101921
78,0.001,24,PR,0.8013967248428101
79,0.001,25,PR,0.8017988679751579
80,0.001,26,PR,0.8021867443821974
81,0.001,27,PR,0.8025596534924793
82,0.001,28,PR,0.8029170952804915
83,0.001,29,PR,0.8032587424397225
84,0.001,30,PR,0.8035844172574619
85,0.001,31,PR,0.8038940804761557
86,0.001,32,PR,0.8041877943698615
87,0.001,33,PR,0.8044657137010622
88,0.001,34,PR,0.804728086223188
89,0.001,35,PR,0.8049752054562316
90,0.001,36,PR,0.8052074283273107
91,0.001,37,PR,0.8054251520856922
92,0.001,38,PR,0.8056288075775502
93,0.001,39,PR,0.8058188523342099
94,0.001,40,PR,0.8059957624854117
95,0.001,41,PR,0.8061600229872312
96,0.001,42,PR,0.8063121275489794
97,0.001,43,PR,0.8064525777226255
98,0.001,44,PR,0.806581867731355
99,0.001,45,PR,0.8067004903749325
100,0.001,46,PR,0.8068089353355602
101,0.001,47,PR,0.8069076657976689
102,0.001,48,PR,0.8069971663464433
103,0.001,49,PR,0.8070778851670704
104,0.001,50,PR,0.8071502645841377
105,0.001,51,PR,0.8072147333815481
106,0.001,52,PR,0.807271705169278
107,0.001,53,PR,0.8073215788895192
108,0.001,54,PR,0.8073647381322392
109,0.001,55,PR,0.8074015510763641
110,0.001,1,TFF1,0.9671835133720708
111,0.001,2,TFF1,0.9674130488236901
112,0.001,3,TFF1,0.9679985899951844
113,0.001,4,TFF1,0.9688160056789317
114,0.001,5,TFF1,0.9697740456386242
115,0.001,6,TFF1,0.9708063099786799
116,0.001,7,TFF1,0.9718651638268028
117,0.001,8,TFF1,0.9729170710232997
118,0.001,9,TFF1,0.9739390236324001
119,0.001,10,TFF1,0.9749158484702357
120,0.001,11,TFF1,0.975838139616308
121,0.001,12,TFF1,0.9767006981051614
122,0.001,13,TFF1,0.9775013666688007
123,0.001,14,TFF1,0.97824012582927
124,0.001,15,TFF1,0.9789184413713625
125,0.001,16,TFF1,0.9795387690516193
126,0.001,17,TFF1,0.9801041904758216
127,0.001,18,TFF1,0.9806181476687574
128,0.001,19,TFF1,0.9810842467208287
129,0.001,20,TFF1,0.9815061234297329
130,0.001,21,TFF1,0.9818873476506623
131,0.001,22,TFF1,0.9822313570168987
132,0.001,23,TFF1,0.9825414173232815
133,0.001,24,TFF1,0.9828205939262207
134,0.001,25,TFF1,0.9830717475900103
135,0.001,26,TFF1,0.9832975229092231
136,0.001,27,TFF1,0.9835003555908185
137,0.001,28,TFF1,0.983682476603682
138,0.001,29,TFF1,0.9838459241491656
139,0.001,30,TFF1,0.9839925562600208
140,0.001,31,TFF1,0.9841240513382934
141,0.001,32,TFF1,0.9842419372485871
142,0.001,33,TFF1,0.9843476003313226
143,0.001,34,TFF1,0.9844422694420812
144,0.001,35,TFF1,0.9845270850426368
145,0.001,36,TFF1,0.9846030558562473
146,0.001,37,TFF1,0.984671094654663
147,0.001,38,TFF1,0.9847320226007537
148,0.001,39,TFF1,0.9847865761923802
149,0.001,40,TFF1,0.9848354144313095
150,0.001,41,TFF1,0.9848791333453726
151,0.001,42,TFF1,0.9849182666262544
152,0.001,43,TFF1,0.9849532923266532
153,0.001,44,TFF1,0.9849846398658038
154,0.001,45,TFF1,0.9850126938801866
155,0.001,46,TFF1,0.9850378013718871
156,0.001,47,TFF1,0.9850602610158429
157,0.001,48,TFF1,0.9850803625494997
158,0.001,49,TFF1,0.9850983493137114
159,0.001,50,TFF1,0.9851144429993525
160,0.001,51,TFF1,0.9851288436848455
161,0.001,52,TFF1,0.9851417290185661
162,0.001,53,TFF1,0.9851532573818871
163,0.001,54,TFF1,0.9851635706120612
164,0.001,55,TFF1,0.9851727963571503
0,0.01,1,GREB1,0.9134238532167941
1,0.01,2,GREB1,0.9141139203367428
2,0.01,3,GREB1,0.9210793367045068
3,0.01,4,GREB1,0.9410416449054021
4,0.01,5,GREB1,0.9771332269557799
