,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.91342291705969
1,0.001,2,GREB1,0.9134398802515818
2,0.001,3,GREB1,0.9136117972588292
3,0.001,4,GREB1,0.9141063373586504
4,0.001,5,GREB1,0.9150003067355489
5,0.001,6,GREB1,0.9162878340560142
6,0.001,7,GREB1,0.9179138321549088
7,0.001,8,GREB1,0.919801380603648
8,0.001,9,GREB1,0.921869336860496
9,0.001,10,GREB1,0.9240420787639282
10,0.001,11,GREB1,0.9262543127275065
11,0.001,12,GREB1,0.9284526941197673
12,0.001,13,GREB1,0.9305956082069707
13,0.001,14,GREB1,0.9326521921940428
14,0.001,15,GREB1,0.9346007019433825
15,0.001,16,GREB1,0.9364270477952984
16,0.001,17,GREB1,0.9381232426680028
17,0.001,18,GREB1,0.939686058500067
18,0.001,19,GREB1,0.9411159507794987
19,0.001,20,GREB1,0.9424159671094089
20,0.001,21,GREB1,0.9435910890300014
21,0.001,22,GREB1,0.9446476337956031
22,0.001,23,GREB1,0.9455925637867094
23,0.001,24,GREB1,0.9464333643152407
24,0.001,25,GREB1,0.9471776396501904
25,0.001,26,GREB1,0.9478329235142158
26,0.001,27,GREB1,0.9484065391009109
27,0.001,28,GREB1,0.9489054973790769
28,0.001,29,GREB1,0.9493364350907469
29,0.001,30,GREB1,0.949705586527387
30,0.001,31,GREB1,0.9500187393170395
31,0.001,32,GREB1,0.9502812475549292
32,0.001,33,GREB1,0.95049805872205
33,0.001,34,GREB1,0.9506736397737897
34,0.001,35,GREB1,0.9508121761271344
35,0.001,36,GREB1,0.9509174115132112
36,0.001,37,GREB1,0.9509927619788613
37,0.001,38,GREB1,0.951041332962537
38,0.001,39,GREB1,0.9510659308511432
39,0.001,40,GREB1,0.9510690731614672
40,0.001,41,GREB1,0.9510530242180779
41,0.001,42,GREB1,0.9510198279537023
42,0.001,43,GREB1,0.9509714036093987
43,0.001,44,GREB1,0.950909380250696
44,0.001,45,GREB1,0.9508352554009664
45,0.001,46,GREB1,0.950750383025697
46,0.001,47,GREB1,0.9506559322446192
47,0.001,48,GREB1,0.9505530340536923
48,0.001,49,GREB1,0.9504426435872582
49,0.001,50,GREB1,0.950325629837345
50,0.001,51,GREB1,0.9502027768158472
