,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9134232655360548
1,0.001,2,GREB1,0.9134402256959314
2,0.001,3,GREB1,0.9136121236317524
3,0.001,4,GREB1,0.9141066359666941
4,0.001,5,GREB1,0.9150005889776004
5,0.001,6,GREB1,0.9162881246787048
6,0.001,7,GREB1,0.9179141593189726
7,0.001,8,GREB1,0.9198017692459435
8,0.001,9,GREB1,0.9218698058465525
9,0.001,10,GREB1,0.9240426407030827
10,0.001,11,GREB1,0.9262549748170112
11,0.001,12,GREB1,0.9284534594534314
12,0.001,13,GREB1,0.9305964769828998
13,0.001,14,GREB1,0.9326531627960434
14,0.001,15,GREB1,0.9346017716036183
15,0.001,16,GREB1,0.9364282132460047
16,0.001,17,GREB1,0.9381245002817123
17,0.001,18,GREB1,0.9396874048421697
18,0.001,19,GREB1,0.9411173822761418
19,0.001,20,GREB1,0.9424174801861512
20,0.001,21,GREB1,0.9435926810768385
21,0.001,22,GREB1,0.9446493016204747
22,0.001,23,GREB1,0.9455943043704618
23,0.001,24,GREB1,0.9464351755110935
24,0.001,25,GREB1,0.9471795191990693
25,0.001,26,GREB1,0.9478348692085852
26,0.001,27,GREB1,0.9484085489857226
27,0.001,28,GREB1,0.948907569670626
28,0.001,29,GREB1,0.9493385682518332
29,0.001,30,GREB1,0.9497077790651397
30,0.001,31,GREB1,0.950020989853353
31,0.001,32,GREB1,0.9502835548952411
32,0.001,33,GREB1,0.9505004206341153
33,0.001,34,GREB1,0.9506760579819717
34,0.001,35,GREB1,0.9508146484641928
35,0.001,36,GREB1,0.9509199372981373
36,0.001,37,GREB1,0.950995340697058
37,0.001,38,GREB1,0.9510439641330848
38,0.001,39,GREB1,0.9510686138808818
39,0.001,40,GREB1,0.9510718075746456
40,0.001,41,GREB1,0.9510558103564521
41,0.001,42,GREB1,0.9510226658222692
42,0.001,43,GREB1,0.950974291211599
43,0.001,44,GREB1,0.9509123180356898
44,0.001,45,GREB1,0.9508382433800746
45,0.001,46,GREB1,0.9507534202055248
46,0.001,47,GREB1,0.9506590195140286
47,0.001,48,GREB1,0.9505561705503754
48,0.001,49,GREB1,0.9504458292621806
49,0.001,50,GREB1,0.9503288644675157
50,0.001,51,GREB1,0.9502060600026547
51,0.001,52,GREB1,0.9500781153812091
52,0.001,53,GREB1,0.9499456496665032
53,0.001,54,GREB1,0.9498092224061777
54,0.001,55,GREB1,0.9496693312963608
55,0.001,1,PR,0.7941257143581628
56,0.001,2,PR,0.7941268337852765
57,0.001,3,PR,0.7941396662288259
58,0.001,4,PR,0.7941804269991941
59,0.001,5,PR,0.7942614746184289
60,0.001,6,PR,0.7943897623630165
61,0.001,7,PR,0.7945677498491172
62,0.001,8,PR,0.7947946343570395
63,0.001,9,PR,0.7950674151180113
64,0.001,10,PR,0.795381707499432
65,0.001,11,PR,0.79573234710305
66,0.001,12,PR,0.7961138263513725
67,0.001,13,PR,0.7965205922841279
68,0.001,14,PR,0.7969472646327074
69,0.001,15,PR,0.7973887625501432
70,0.001,16,PR,0.7978403934858153
71,0.001,17,PR,0.7982978955248429
72,0.001,18,PR,0.7987574544406124
73,0.001,19,PR,0.7992157073209052
74,0.001,20,PR,0.7996697200517748
75,0.001,21,PR,0.800116970732027
76,0.001,22,PR,0.8005553230126243
77,0.001,23,PR,0.800982982721519
78,0.001,24,PR,0.801398485046858
79,0.001,25,PR,0.8018006441666369
80,0.001,26,PR,0.8021885342697641
81,0.001,27,PR,0.8025614548884731
82,0.001,28,PR,0.8029189062139787
83,0.001,29,PR,0.8032605611456384
84,0.001,30,PR,0.8035862422676568
85,0.001,31,PR,0.8038959106075659
86,0.001,32,PR,0.8041896287260216
87,0.001,33,PR,0.8044675518700084
88,0.001,34,PR,0.8047299275977944
89,0.001,35,PR,0.804977050211156
90,0.001,36,PR,0.8052092767558584
91,0.001,37,PR,0.8054270047740305
92,0.001,38,PR,0.8056306653098115
93,0.001,39,PR,0.8058207161868548
94,0.001,40,PR,0.8059976337759553
95,0.001,41,PR,0.8061619033613283
96,0.001,42,PR,0.8063140186784711
97,0.001,43,PR,0.8064544812719884
98,0.001,44,PR,0.8065837857698351
99,0.001,45,PR,0.8067024252298249
100,0.001,46,PR,0.8068108885390005
101,0.001,47,PR,0.8069096404962146
102,0.001,48,PR,0.8069991642603251
103,0.001,49,PR,0.80707990890729
104,0.001,50,PR,0.8071523165559324
105,0.001,51,PR,0.807216815921177
106,0.001,52,PR,0.8072738208241871
107,0.001,53,PR,0.8073237299988162
108,0.001,54,PR,0.8073669272553837
109,0.001,55,PR,0.8074037805548262
110,0.001,1,TFF1,0.967186893951524
111,0.001,2,TFF1,0.9674163840604412
112,0.001,3,TFF1,0.9680018144583264
113,0.001,4,TFF1,0.9688190813483604
114,0.001,5,TFF1,0.9697769517773231
115,0.001,6,TFF1,0.9708090365016656
116,0.001,7,TFF1,0.9718677069376259
117,0.001,8,TFF1,0.9729194305144486
118,0.001,9,TFF1,0.9739412012760696
119,0.001,10,TFF1,0.9749178469973321
120,0.001,11,TFF1,0.975839962230592
121,0.001,12,TFF1,0.9767023482178143
122,0.001,13,TFF1,0.9775028477852552
123,0.001,14,TFF1,0.9782414415579009
124,0.001,15,TFF1,0.9789195954320951
125,0.001,16,TFF1,0.9795397653185648
126,0.001,17,TFF1,0.9801050330095391
127,0.001,18,TFF1,0.9806188407191724
128,0.001,19,TFF1,0.9810847947555087
129,0.001,20,TFF1,0.9815065311280734
130,0.001,21,TFF1,0.9818876199100955
131,0.001,22,TFF1,0.9822314988838776
