,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9134237898399584
1,0.001,2,GREB1,0.9134407464890594
2,0.001,3,GREB1,0.913612621478022
3,0.001,4,GREB1,0.9141070957542521
4,0.001,5,GREB1,0.9150010125446574
5,0.001,6,GREB1,0.9162885228766314
6,0.001,7,GREB1,0.9179145418704613
7,0.001,8,GREB1,0.9198021390136203
8,0.001,9,GREB1,0.9218701576020617
9,0.001,10,GREB1,0.9240429628063134
10,0.001,11,GREB1,0.9262552517014678
11,0.001,12,GREB1,0.9284536742554758
12,0.001,13,GREB1,0.9305966136173736
13,0.001,14,GREB1,0.9326532075747446
14,0.001,15,GREB1,0.9346017140267622
15,0.001,16,GREB1,0.9364280465516489
16,0.001,17,GREB1,0.9381242213128588
17,0.001,18,GREB1,0.939687014122273
18,0.001,19,GREB1,0.9411168833032162
19,0.001,20,GREB1,0.9424168790739872
20,0.001,21,GREB1,0.9435919866573929
21,0.001,22,GREB1,0.9446485239389523
22,0.001,23,GREB1,0.945593454854513
23,0.001,24,GREB1,0.9464342669262052
24,0.001,25,GREB1,0.9471785647127268
25,0.001,26,GREB1,0.9478338821814387
26,0.001,27,GREB1,0.9484075428907794
27,0.001,28,GREB1,0.94890655784939
28,0.001,29,GREB1,0.9493375637476097
29,0.001,30,GREB1,0.949706794542075
30,0.001,31,GREB1,0.9500200374533171
31,0.001,32,GREB1,0.9502826461830238
32,0.001,33,GREB1,0.9504995668314153
33,0.001,34,GREB1,0.9506752688390733
34,0.001,35,GREB1,0.9508139338312518
35,0.001,36,GREB1,0.9509193060943103
36,0.001,37,GREB1,0.9509948012905888
37,0.001,38,GREB1,0.9510435241473729
38,0.001,39,GREB1,0.9510682801775949
39,0.001,40,GREB1,0.9510715869138271
40,0.001,41,GREB1,0.9510557091738868
41,0.001,42,GREB1,0.951022689673739
42,0.001,43,GREB1,0.9509744434867486
43,0.001,44,GREB1,0.950912603729361
44,0.001,45,GREB1,0.950838666685747
45,0.001,46,GREB1,0.9507539837282096
46,0.001,47,GREB1,0.9506597274576716
47,0.001,48,GREB1,0.9505570249104764
48,0.001,49,GREB1,0.9504468325653095
49,0.001,50,GREB1,0.9503300187223219
50,0.001,51,GREB1,0.9502073667543178
51,0.001,52,GREB1,0.9500795763108749
52,0.001,53,GREB1,0.9499472658158575
53,0.001,54,GREB1,0.94981099508188
54,0.001,55,GREB1,0.9496712610114667
55,0.001,1,PR,0.7941250816758206
56,0.001,2,PR,0.7941262008268354
57,0.001,3,PR,0.7941390306754672
58,0.001,4,PR,0.7941797856448862
59,0.001,5,PR,0.7942608255478507
60,0.001,6,PR,0.7943891054028418
61,0.001,7,PR,0.7945670861353258
62,0.001,8,PR,0.794793965704983
63,0.001,9,PR,0.795066743485105
64,0.001,10,PR,0.7953810346221529
65,0.001,11,PR,0.7957316742682852
66,0.001,12,PR,0.7961131542900641
67,0.001,13,PR,0.796519921144123
68,0.001,14,PR,0.7969465940098996
69,0.001,15,PR,0.7973880915503353
70,0.001,16,PR,0.7978397208113448
71,0.001,17,PR,0.7982972195581549
72,0.001,18,PR,0.798756773352175
73,0.001,19,PR,0.7992150191357852
74,0.001,20,PR,0.7996690227360533
75,0.001,21,PR,0.8001162622921955
76,0.001,22,PR,0.8005546015028455
77,0.001,23,PR,0.8009822463293375
78,0.001,24,PR,0.8013977321448418
79,0.001,25,PR,0.8017998733233679
80,0.001,26,PR,0.8021877442691578
81,0.001,27,PR,0.8025606447476065
82,0.001,28,PR,0.8029180752038656
83,0.001,29,PR,0.8032597087823907
84,0.001,30,PR,0.8035853683101846
85,0.001,31,PR,0.8038950150790076
86,0.001,32,PR,0.8041887118748844
87,0.001,33,PR,0.8044666141161831
88,0.001,34,PR,0.8047289697205272
89,0.001,35,PR,0.8049760730375464
90,0.001,36,PR,0.8052082813530121
91,0.001,37,PR,0.8054259923589688
92,0.001,38,PR,0.8056296372302438
93,0.001,39,PR,0.8058196739534296
94,0.001,40,PR,0.8059965789904225
95,0.001,41,PR,0.8061608377861
96,0.001,42,PR,0.806312944115263
97,0.001,43,PR,0.8064533995285914
98,0.001,44,PR,0.8065826988020759
99,0.001,45,PR,0.8067013351277873
100,0.001,46,PR,0.8068097969434406
101,0.001,47,PR,0.8069085498480751
102,0.001,48,PR,0.8069980763449345
103,0.001,49,PR,0.8070788258261054
104,0.001,50,PR,0.8071512403271807
105,0.001,51,PR,0.8072157485337768
106,0.001,52,PR,0.8072727642809623
107,0.001,53,PR,0.8073226862374001
108,0.001,54,PR,0.8073658982198879
109,0.001,55,PR,0.8074027681136788
110,0.001,1,TFF1,0.9671871550031724
111,0.001,2,TFF1,0.9674166352472845
112,0.001,3,TFF1,0.9680020388285662
113,0.001,4,TFF1,0.9688192653215025
114,0.001,5,TFF1,0.9697770843704684
115,0.001,6,TFF1,0.9708091088296212
116,0.001,7,TFF1,0.9718677118377433
117,0.001,8,TFF1,0.9729193622977212
118,0.001,9,TFF1,0.9739410555523033
119,0.001,10,TFF1,0.9749176205049778
120,0.001,11,TFF1,0.9758396527242704
121,0.001,12,TFF1,0.9767019543531131
122,0.001,13,TFF1,0.9775023690125705
123,0.001,14,TFF1,0.9782408780371357
124,0.001,15,TFF1,0.9789189479334935
125,0.001,16,TFF1,0.9795390351447615
126,0.001,17,TFF1,0.9801042219111321
127,0.001,18,TFF1,0.9806179508189523
128,0.001,19,TFF1,0.9810838284834744
129,0.001,20,TFF1,0.9815054911570217
130,0.001,21,TFF1,0.9818865091043083
131,0.001,22,TFF1,0.9822303202378134
132,0.001,23,TFF1,0.9825401905677443
133,0.001,24,TFF1,0.9828191856679295
134,0.001,25,TFF1,0.9830701663172522
135,0.001,26,TFF1,0.9832957771403682
