,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9134335903887052
1,0.001,2,GREB1,0.9134505341732423
2,0.001,3,GREB1,0.913622303150341
3,0.001,4,GREB1,0.9141165297301436
4,0.001,5,GREB1,0.9150100714282502
5,0.001,6,GREB1,0.9162971108146044
6,0.001,7,GREB1,0.9179225911403123
7,0.001,8,GREB1,0.9198096025644459
8,0.001,9,GREB1,0.9218770031459583
9,0.001,10,GREB1,0.9240491697207445
10,0.001,11,GREB1,0.9262608087916457
11,0.001,12,GREB1,0.9284585786489844
12,0.001,13,GREB1,0.9306008696403969
13,0.001,14,GREB1,0.9326568262093847
14,0.001,15,GREB1,0.9346047118968485
15,0.001,16,GREB1,0.9364304452788064
16,0.001,17,GREB1,0.9381260465372168
17,0.001,18,GREB1,0.939688295082917
18,0.001,19,GREB1,0.9411176516959779
19,0.001,20,GREB1,0.9424171686422176
20,0.001,21,GREB1,0.9435918332341859
21,0.001,22,GREB1,0.9446479636571355
22,0.001,23,GREB1,0.9455925246714266
23,0.001,24,GREB1,0.9464330044164887
24,0.001,25,GREB1,0.9471770071616
25,0.001,26,GREB1,0.9478320663399997
26,0.001,27,GREB1,0.9484055049808614
27,0.001,28,GREB1,0.9489043333155761
28,0.001,29,GREB1,0.9493351870232055
29,0.001,30,GREB1,0.9497042990712135
30,0.001,31,GREB1,0.9500174554652638
31,0.001,32,GREB1,0.9502800086059898
32,0.001,33,GREB1,0.9504969040916683
33,0.001,34,GREB1,0.9506726073360332
34,0.001,35,GREB1,0.9508113010801791
35,0.001,36,GREB1,0.9509167272751679
36,0.001,37,GREB1,0.9509923003098844
37,0.001,38,GREB1,0.9510411233091577
38,0.001,39,GREB1,0.9510660001357953
39,0.001,40,GREB1,0.9510694478873843
40,0.001,41,GREB1,0.9510537303254117
41,0.001,42,GREB1,0.9510208884206577
42,0.001,43,GREB1,0.9509728329650834
43,0.001,44,GREB1,0.9509111995935002
44,0.001,45,GREB1,0.9508374830263108
45,0.001,46,GREB1,0.9507530307570223
46,0.001,47,GREB1,0.9506590188218804
47,0.001,48,GREB1,0.9505565693442961
48,0.001,49,GREB1,0.950446639658792
49,0.001,50,GREB1,0.9503300967821247
50,0.001,51,GREB1,0.9502077229743898
51,0.001,52,GREB1,0.9500802177580385
