,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9134292126425844
1,0.001,2,GREB1,0.9134461767328083
2,0.001,3,GREB1,0.9136180507637868
3,0.001,4,GREB1,0.9141123492816148
4,0.001,5,GREB1,0.9150057357272402
5,0.001,6,GREB1,0.9162922893712765
6,0.001,7,GREB1,0.9179169553136456
7,0.001,8,GREB1,0.9198028910589618
8,0.001,9,GREB1,0.9218690463128172
9,0.001,10,GREB1,0.924039885394436
10,0.001,11,GREB1,0.9262501869492412
11,0.001,12,GREB1,0.9284466612532607
12,0.001,13,GREB1,0.9305877321264445
13,0.001,14,GREB1,0.9326425612407994
14,0.001,15,GREB1,0.9345894183637654
15,0.001,16,GREB1,0.9364142191419051
16,0.001,17,GREB1,0.9381089771254539
17,0.001,18,GREB1,0.9396704597587817
18,0.001,19,GREB1,0.9410991176162011
19,0.001,20,GREB1,0.9423979920389812
20,0.001,21,GREB1,0.943572054957771
21,0.001,22,GREB1,0.9446276192279947
22,0.001,23,GREB1,0.9455716406720885
23,0.001,24,GREB1,0.9464115964202959
24,0.001,25,GREB1,0.9471550863511722
25,0.001,26,GREB1,0.947809639977934
26,0.001,27,GREB1,0.9483825760665426
27,0.001,28,GREB1,0.9488809019311206
28,0.001,29,GREB1,0.9493112509805677
29,0.001,30,GREB1,0.949679854800799
30,0.001,31,GREB1,0.9499924986161365
31,0.001,32,GREB1,0.9502545342171285
32,0.001,33,GREB1,0.9504709085289019
33,0.001,34,GREB1,0.9506460816219943
34,0.001,35,GREB1,0.9507842426280407
35,0.001,36,GREB1,0.9508891318330607
36,0.001,37,GREB1,0.9509641633508744
37,0.001,38,GREB1,0.9510124415205929
38,0.001,39,GREB1,0.951036771884474
39,0.001,40,GREB1,0.9510396694437103
40,0.001,41,GREB1,0.9510233952777407
41,0.001,42,GREB1,0.950989995207817
42,0.001,43,GREB1,0.9509413912702281
43,0.001,44,GREB1,0.9508792035867762
44,0.001,45,GREB1,0.9508049359849264
45,0.001,46,GREB1,0.950719919798906
46,0.001,47,GREB1,0.9506253618859984
47,0.001,48,GREB1,0.950522364463656
48,0.001,49,GREB1,0.9504118855195832
49,0.001,50,GREB1,0.9502947990085105
50,0.001,51,GREB1,0.9501718871130167
51,0.001,52,GREB1,0.950043839986291
52,0.001,53,GREB1,0.9499112859145648
53,0.001,54,GREB1,0.9497747736142005
54,0.001,55,GREB1,0.9496348121539551
55,0.001,1,PR,0.7941239872571454
56,0.001,2,PR,0.7941251071069381
57,0.001,3,PR,0.7941379418703491
58,0.001,4,PR,0.7941786991756533
59,0.001,5,PR,0.794259722900135
60,0.001,6,PR,0.794387953351511
61,0.001,7,PR,0.7945658419313264
62,0.001,8,PR,0.7947925823701715
63,0.001,9,PR,0.7950651738713678
64,0.001,10,PR,0.7953792340567313
65,0.001,11,PR,0.7957296021770981
66,0.001,12,PR,0.7961107750052759
67,0.001,13,PR,0.7965172041854761
68,0.001,14,PR,0.7969435140102542
69,0.001,15,PR,0.797384628018686
70,0.001,16,PR,0.7978358577002574
71,0.001,17,PR,0.7982929449138737
72,0.001,18,PR,0.798752078729963
73,0.001,19,PR,0.7992098993173171
74,0.001,20,PR,0.7996634752920958
75,0.001,21,PR,0.8001102869746759
76,0.001,22,PR,0.8005482002962444
77,0.001,23,PR,0.8009754228777044
78,0.001,24,PR,0.8013904915329334
79,0.001,25,PR,0.8017922217547933
80,0.001,26,PR,0.8021796890306675
81,0.001,27,PR,0.8025521939955654
82,0.001,28,PR,0.8029092376957225
83,0.001,29,PR,0.8032504938438617
84,0.001,30,PR,0.8035757855862702
85,0.001,31,PR,0.8038850745416318
86,0.001,32,PR,0.8041784237195572
87,0.001,33,PR,0.8044559881421322
88,0.001,34,PR,0.8047180172555081
89,0.001,35,PR,0.8049648039710223
90,0.001,36,PR,0.8051967060445309
91,0.001,37,PR,0.8054141210054326
92,0.001,38,PR,0.805617480015498
93,0.001,39,PR,0.8058072408152237
94,0.001,40,PR,0.8059838796026104
95,0.001,41,PR,0.8061478813879722
96,0.001,42,PR,0.8062997400507563
97,0.001,43,PR,0.8064399571501975
98,0.001,44,PR,0.806569026681635
99,0.001,45,PR,0.8066874428114761
100,0.001,46,PR,0.8067956876212259
101,0.001,47,PR,0.8068942381257056
102,0.001,48,PR,0.806983567602202
103,0.001,49,PR,0.8070641271048818
104,0.001,50,PR,0.8071363592054065
105,0.001,51,PR,0.8072006919636862
106,0.001,52,PR,0.8072575386090369
107,0.001,53,PR,0.8073072981593497
108,0.001,54,PR,0.8073503533175904
109,0.001,55,PR,0.8073870724404986
110,0.001,1,TFF1,0.9671935918997624
111,0.001,2,TFF1,0.967422903264674
112,0.001,3,TFF1,0.968007911924727
113,0.001,4,TFF1,0.9688246377890202
114,0.001,5,TFF1,0.9697819244766325
115,0.001,6,TFF1,0.9708134278033517
116,0.001,7,TFF1,0.971871543812805
117,0.001,8,TFF1,0.972922751506268
118,0.001,9,TFF1,0.9739440484899232
119,0.001,10,TFF1,0.9749202615714028
120,0.001,11,TFF1,0.9758419818813369
121,0.001,12,TFF1,0.9767040062259803
122,0.001,13,TFF1,0.9775041728218056
123,0.001,14,TFF1,0.978242457968394
124,0.001,15,TFF1,0.9789203237307366
125,0.001,16,TFF1,0.9795402228444151
126,0.001,17,TFF1,0.9801052344817615
127,0.001,18,TFF1,0.9806187988648115
128,0.001,19,TFF1,0.9810845207622861
129,0.001,20,TFF1,0.9815060350414346
130,0.001,21,TFF1,0.9818869109308798
131,0.001,22,TFF1,0.9822305856884823
132,0.001,23,TFF1,0.9825403248880433
133,0.001,24,TFF1,0.9828191936892985
134,0.001,25,TFF1,0.9830700528276315
135,0.001,26,TFF1,0.983295546815341
136,0.001,27,TFF1,0.9834981112535599
137,0.001,28,TFF1,0.9836799770249901
138,0.001,29,TFF1,0.9838431821545126
139,0.001,30,TFF1,0.9839895845580161
140,0.001,31,TFF1,0.9841208623706784
141,0.001,32,TFF1,0.984238543172438
142,0.001,33,TFF1,0.9843440136501662
143,0.001,34,TFF1,0.9844385003321774
144,0.001,35,TFF1,0.9845231453011456
145,0.001,36,TFF1,0.9845989561092587
146,0.001,37,TFF1,0.984666845191526
147,0.001,38,TFF1,0.984727633214197
148,0.001,39,TFF1,0.9847820562251235
149,0.001,40,TFF1,0.9848307728534881
150,0.001,41,TFF1,0.9848743786379445
151,0.001,42,TFF1,0.984913406778267
152,0.001,43,TFF1,0.984948334939127
153,0.001,44,TFF1,0.9849795920459437
154,0.001,45,TFF1,0.9850075632747378
155,0.001,46,TFF1,0.9850325896946763
156,0.001,47,TFF1,0.9850549799668931
157,0.001,48,TFF1,0.9850750156471016
158,0.001,49,TFF1,0.9850929410906898
159,0.001,50,TFF1,0.9851089790806845
160,0.001,51,TFF1,0.9851233289133943
161,0.001,52,TFF1,0.9851361663216242
162,0.001,53,TFF1,0.9851476512541383
163,0.001,54,TFF1,0.9851579233417738
164,0.001,55,TFF1,0.98516711218941
0,0.01,1,GREB1,0.9134292126425844
1,0.01,2,GREB1,0.91411960324557
2,0.01,3,GREB1,0.9210872731934644
3,0.01,4,GREB1,0.9410536744697362
4,0.01,5,GREB1,0.9771496317346117
5,0.01,6,GREB1,1.029364007780035
6,0.01,7,GREB1,1.0958602038626186
7,0.01,8,GREB1,1.1739693544075853
8,0.01,9,GREB1,1.260796420234172
9,0.01,10,GREB1,1.3535588848613267
10,0.01,11,GREB1,1.4497616099985022
11,0.01,12,GREB1,1.5472728254643597
12,0.01,13,GREB1,1.644340861040597
13,0.01,14,GREB1,1.7395762305717706
14,0.01,15,GREB1,1.8319154055008025
15,0.01,16,GREB1,1.920576624519925
16,0.01,17,GREB1,2.0050142340370822
17,0.01,18,GREB1,2.0848756752636866
18,0.01,19,GREB1,2.159962699708472
19,0.01,20,GREB1,2.230198069579869
20,0.01,21,GREB1,2.2955973758706176
21,0.01,22,GREB1,2.3562455502285884
22,0.01,23,GREB1,2.4122784824821686
23,0.01,24,GREB1,2.463867691196374
24,0.01,25,GREB1,2.511208645178433
25,0.01,26,GREB1,2.5545113714419654
26,0.01,27,GREB1,2.593993613408151
27,0.01,28,GREB1,2.629875227415548
28,0.01,29,GREB1,2.662374422992269
29,0.01,30,GREB1,2.6917047590282013
30,0.01,31,GREB1,2.718073160769581
31,0.01,32,GREB1,2.741678441870147
32,0.01,33,GREB1,2.7627104930592097
33,0.01,34,GREB1,2.7813497427635743
34,0.01,35,GREB1,2.797766951271348
35,0.01,36,GREB1,2.8121231793013606
36,0.01,37,GREB1,2.8245698838920186
37,0.01,38,GREB1,2.83524927258249
38,0.01,39,GREB1,2.8442945793264025
39,0.01,40,GREB1,2.85183037294026
40,0.01,41,GREB1,2.8579727415411935
41,0.01,42,GREB1,2.862830553460426
42,0.01,43,GREB1,2.866504785108746
43,0.01,44,GREB1,2.869089617789852
44,0.01,45,GREB1,2.8706726265542195
45,0.01,46,GREB1,2.8713352331968474
46,0.01,47,GREB1,2.871152965519942
47,0.01,48,GREB1,2.8701958784248927
48,0.01,49,GREB1,2.868529096267999
49,0.01,50,GREB1,2.8662128544430305
50,0.01,51,GREB1,2.863302953368921
51,0.01,52,GREB1,2.8598509945583825
52,0.01,53,GREB1,2.855904687849496
53,0.01,54,GREB1,2.851508175743649
54,0.01,55,GREB1,2.846702204031509
