,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9221148980250752
1,0.001,2,GREB1,0.922120788385094
2,0.001,3,GREB1,0.9221828214793873
3,0.001,4,GREB1,0.9223678966367824
4,0.001,5,GREB1,0.9227108690886573
5,0.001,6,GREB1,0.9232124039352535
6,0.001,7,GREB1,0.9238510548140149
7,0.001,8,GREB1,0.9245946476099894
8,0.001,9,GREB1,0.9254084308777113
9,0.001,10,GREB1,0.9262597455636689
10,0.001,11,GREB1,0.92712032415662
11,0.001,12,GREB1,0.9279670488861907
12,0.001,13,GREB1,0.9287819387374376
13,0.001,14,GREB1,0.9295516296073455
14,0.001,15,GREB1,0.9302667339507009
15,0.001,16,GREB1,0.9309211377087646
16,0.001,17,GREB1,0.9315113686989266
17,0.001,18,GREB1,0.9320360134532096
18,0.001,19,GREB1,0.9324952464824254
19,0.001,20,GREB1,0.932890468337537
20,0.001,21,GREB1,0.9332239638797876
21,0.001,22,GREB1,0.9334985977156384
22,0.001,23,GREB1,0.9337176595270407
23,0.001,24,GREB1,0.9338846867233788
24,0.001,25,GREB1,0.9340033603198797
25,0.001,26,GREB1,0.9340773828231116
26,0.001,27,GREB1,0.934110420797286
27,0.001,28,GREB1,0.9341060551140159
28,0.001,29,GREB1,0.9340677413790639
29,0.001,30,GREB1,0.9339987824964378
30,0.001,31,GREB1,0.9339023173495894
31,0.001,32,GREB1,0.9337812996714613
32,0.001,33,GREB1,0.9336385022952046
33,0.001,34,GREB1,0.933476514927094
34,0.001,35,GREB1,0.9332977490722743
35,0.001,36,GREB1,0.9331044370958858
36,0.001,37,GREB1,0.9328986407428087
37,0.001,38,GREB1,0.9326822606767773
38,0.001,39,GREB1,0.9324570217145806
39,0.001,40,GREB1,0.9322245224175012
40,0.001,41,GREB1,0.9319862131564566
41,0.001,42,GREB1,0.9317434099292842
42,0.001,43,GREB1,0.9314973191902196
43,0.001,44,GREB1,0.9312490269568954
44,0.001,45,GREB1,0.9309995166367881
45,0.001,46,GREB1,0.9307496767894764
46,0.001,47,GREB1,0.930500295291811
47,0.001,48,GREB1,0.9302520783642575
48,0.001,49,GREB1,0.9300056582276054
49,0.001,50,GREB1,0.9297615851855833
50,0.001,51,GREB1,0.9295203534602364
51,0.001,52,GREB1,0.9292823973253315
52,0.001,53,GREB1,0.9290480855887022
53,0.001,54,GREB1,0.9288177387859768
54,0.001,55,GREB1,0.9285916372866307
55,0.001,1,PR,0.7867283907066621
56,0.001,2,PR,0.7867290296082253
57,0.001,3,PR,0.7867364481861365
58,0.001,4,PR,0.7867595776640472
59,0.001,5,PR,0.7868038638930013
60,0.001,6,PR,0.7868706324335996
61,0.001,7,PR,0.786958356865466
62,0.001,8,PR,0.7870639568962731
63,0.001,9,PR,0.7871837717052232
64,0.001,10,PR,0.7873141461747045
65,0.001,11,PR,0.7874517459732983
66,0.001,12,PR,0.7875936889777152
67,0.001,13,PR,0.7877375826928463
68,0.001,14,PR,0.7878814956452347
69,0.001,15,PR,0.7880239090487484
70,0.001,16,PR,0.7881636557233391
71,0.001,17,PR,0.7882998627278522
72,0.001,18,PR,0.78843189571971
73,0.001,19,PR,0.7885593131398546
74,0.001,20,PR,0.788681831303742
75,0.001,21,PR,0.7887992893252838
76,0.001,22,PR,0.7889116170483275
77,0.001,23,PR,0.7890188185728768
78,0.001,24,PR,0.7891209529888223
79,0.001,25,PR,0.7892181225377426
80,0.001,26,PR,0.7893104584139808
81,0.001,27,PR,0.7893981133484108
82,0.001,28,PR,0.7894812549373019
83,0.001,29,PR,0.7895600600354632
84,0.001,30,PR,0.7896347102937007
85,0.001,31,PR,0.7897053899267359
86,0.001,32,PR,0.7897722814921906
87,0.001,33,PR,0.7898355652738075
88,0.001,34,PR,0.7898954178095868
89,0.001,35,PR,0.7899520099494469
90,0.001,36,PR,0.7900055078344633
91,0.001,37,PR,0.7900560719252263
92,0.001,38,PR,0.790103855253488
93,0.001,39,PR,0.7901490065565169
94,0.001,40,PR,0.7901916654511869
95,0.001,41,PR,0.7902319653044232
96,0.001,42,PR,0.7902700324345814
97,0.001,43,PR,0.7903059879418767
98,0.001,44,PR,0.7903399467300135
99,0.001,45,PR,0.7903720184128954
100,0.001,46,PR,0.790402306797774
101,0.001,47,PR,0.7904309101127117
102,0.001,48,PR,0.7904579211314734
103,0.001,49,PR,0.7904834278723751
104,0.001,50,PR,0.7905075132254263
105,0.001,51,PR,0.7905302560276092
106,0.001,52,PR,0.790551730905822
107,0.001,53,PR,0.7905720080417485
108,0.001,54,PR,0.790591153848594
109,0.001,55,PR,0.7906092313760819
110,0.001,1,TFF1,0.9700701658093464
111,0.001,2,TFF1,0.9701554488275103
112,0.001,3,TFF1,0.9703778944249735
113,0.001,4,TFF1,0.9706957031385248
114,0.001,5,TFF1,0.9710765564622243
115,0.001,6,TFF1,0.9714955800902491
116,0.001,7,TFF1,0.9719337690586444
117,0.001,8,TFF1,0.9723767592873636
118,0.001,9,TFF1,0.9728138350914356
119,0.001,10,TFF1,0.9732371434782644
120,0.001,11,TFF1,0.9736410692669615
121,0.001,12,TFF1,0.974021746261569
122,0.001,13,TFF1,0.9743766604340629
123,0.001,14,TFF1,0.9747043420486488
124,0.001,15,TFF1,0.975004119895329
125,0.001,16,TFF1,0.9752759269949877
126,0.001,17,TFF1,0.9755201488838161
127,0.001,18,TFF1,0.9757375013051784
128,0.001,19,TFF1,0.9759289380749434
129,0.001,20,TFF1,0.9760955822780274
130,0.001,21,TFF1,0.9762386666983078
131,0.001,22,TFF1,0.9763594818294699
132,0.001,23,TFF1,0.9764593514052081
133,0.001,24,TFF1,0.9765396030912591
134,0.001,25,TFF1,0.9766015519799508
135,0.001,26,TFF1,0.9766464820959202
136,0.001,27,TFF1,0.9766756384607708
137,0.001,28,TFF1,0.9766902200397065
138,0.001,29,TFF1,0.9766913744605767
139,0.001,30,TFF1,0.976680194959496
140,0.001,31,TFF1,0.9766577194601653
141,0.001,32,TFF1,0.9766249288023033
142,0.001,33,TFF1,0.9765827482439814
143,0.001,34,TFF1,0.9765320481861517
144,0.001,35,TFF1,0.9764736471532572
145,0.001,36,TFF1,0.9764083106929643
146,0.001,37,TFF1,0.9763367544009052
147,0.001,38,TFF1,0.9762596479025114
148,0.001,39,TFF1,0.9761776083852687
149,0.001,40,TFF1,0.9760912176749416
150,0.001,41,TFF1,0.9760010141006381
151,0.001,42,TFF1,0.9759074968169873
152,0.001,43,TFF1,0.97581113098345
153,0.001,44,TFF1,0.9757123457062205
154,0.001,45,TFF1,0.9756115381081335
155,0.001,46,TFF1,0.9755090761114192
156,0.001,47,TFF1,0.9754052965847007
157,0.001,48,TFF1,0.9753005106601501
158,0.001,49,TFF1,0.9751950053253902
159,0.001,50,TFF1,0.9750890414997054
160,0.001,51,TFF1,0.9749828605423388
161,0.001,52,TFF1,0.9748766835000467
162,0.001,53,TFF1,0.9747707095154446
163,0.001,54,TFF1,0.9746651206881747
164,0.001,55,TFF1,0.9745600839119813
0,0.01,1,GREB1,0.9221148980250752
1,0.01,2,GREB1,0.9227734148974187
2,0.01,3,GREB1,0.9297124015559561
3,0.01,4,GREB1,0.9503015878132821
4,0.01,5,GREB1,0.9884652802056385
5,0.01,6,GREB1,1.0446693677481895
6,0.01,7,GREB1,1.1172235535796102
7,0.01,8,GREB1,1.2033868881463758
8,0.01,9,GREB1,1.300058627020749
9,0.01,10,GREB1,1.404161414174681
10,0.01,11,GREB1,1.5128421718910139
11,0.01,12,GREB1,1.6235708219491207
12,0.01,13,GREB1,1.734180131003729
13,0.01,14,GREB1,1.8428700178719015
14,0.01,15,GREB1,1.9481897288552206
15,0.01,16,GREB1,2.0490071746604985
16,0.01,17,GREB1,2.1444716456732276
17,0.01,18,GREB1,2.233974460062795
18,0.01,19,GREB1,2.3171105388944517
19,0.01,20,GREB1,2.3936426377261193
20,0.01,21,GREB1,2.46346939261227
21,0.01,22,GREB1,2.5265973867723273
22,0.01,23,GREB1,2.5831173159582272
23,0.01,24,GREB1,2.6331840002726135
24,0.01,25,GREB1,2.6769998828818506
25,0.01,26,GREB1,2.714801573129324
26,0.01,27,GREB1,2.746849065969144
27,0.01,28,GREB1,2.7734171711655913
28,0.01,29,GREB1,2.7947888019578264
29,0.01,30,GREB1,2.811249806728521
30,0.01,31,GREB1,2.823085032434292
31,0.01,32,GREB1,2.8305753890966368
32,0.01,33,GREB1,2.8339957428648677
33,0.01,34,GREB1,2.8336133943451136
34,0.01,35,GREB1,2.8296870382986086
35,0.01,36,GREB1,2.8224661146233783
36,0.01,37,GREB1,2.8121904540426166
37,0.01,38,GREB1,2.799090105063375
38,0.01,39,GREB1,2.78338531409094
39,0.01,40,GREB1,2.7652866147603814
40,0.01,41,GREB1,2.744995009520019
41,0.01,42,GREB1,2.7227021948925256
42,0.01,43,GREB1,2.698590807347468
43,0.01,44,GREB1,2.672834686077527
44,0.01,45,GREB1,2.645599138376283
45,0.01,46,GREB1,2.6170412218678445
46,0.01,47,GREB1,2.5873100070776034
47,0.01,48,GREB1,2.556546850489183
48,0.01,49,GREB1,2.524885639837309
49,0.01,50,GREB1,2.4924530328476386
50,0.01,51,GREB1,2.459368702505751
51,0.01,52,GREB1,2.4257455496014773
52,0.01,53,GREB1,2.3916899309203083
53,0.01,54,GREB1,2.357301873818142
54,0.01,55,GREB1,2.3226752844002094
55,0.01,1,PR,0.7867283907066621
56,0.01,2,PR,0.7867997492982246
57,0.01,3,PR,0.7876299365402776
58,0.01,4,PR,0.7902047546731097
59,0.01,5,PR,0.7951366844930156
60,0.01,6,PR,0.8026240732862897
61,0.01,7,PR,0.8125895400781551
62,0.01,8,PR,0.824805907945418
63,0.01,9,PR,0.8389777712694272
64,0.01,10,PR,0.8547886894161738
65,0.01,11,PR,0.8719276744403166
66,0.01,12,PR,0.8901039001570655
67,0.01,13,PR,0.909054455465861
68,0.01,14,PR,0.9285477275048063
69,0.01,15,PR,0.9483838995990355
70,0.01,16,PR,0.9683936166062653
71,0.01,17,PR,0.9884355400736149
72,0.01,18,PR,1.0083933398330682
73,0.01,19,PR,1.028172512271975
74,0.01,20,PR,1.047697246784615
75,0.01,21,PR,1.0669075195865205
76,0.01,22,PR,1.0857564767174357
77,0.01,23,PR,1.1042081376396038
78,0.01,24,PR,1.1222354235010041
79,0.01,25,PR,1.139818490573422
80,0.01,26,PR,1.1569433371938096
81,0.01,27,PR,1.1736006579181988
82,0.01,28,PR,1.189784906113203
83,0.01,29,PR,1.2054935346763016
84,0.01,30,PR,1.2207263871850798
85,0.01,31,PR,1.2354852113597132
86,0.01,32,PR,1.2497732734261702
87,0.01,33,PR,1.263595057376774
88,0.01,34,PR,1.276956025755716
89,0.01,35,PR,1.289862431723557
90,0.01,36,PR,1.302321173723459
91,0.01,37,PR,1.3143396833324832
92,0.01,38,PR,1.3259258345887894
93,0.01,39,PR,1.3370878717733305
94,0.01,40,PR,1.347834351124267
95,0.01,41,PR,1.3581740949644059
96,0.01,42,PR,1.3681161528713612
97,0.01,43,PR,1.3776697672321043
98,0.01,44,PR,1.3868443431932462
99,0.01,45,PR,1.3956494195546376
100,0.01,46,PR,1.4040946453394128
101,0.01,47,PR,1.4121897542513444
102,0.01,48,PR,1.419944543184511
103,0.01,49,PR,1.4273688507020545
104,0.01,50,PR,1.4344725341201714
105,0.01,51,PR,1.4412654486985923
106,0.01,52,PR,1.4477574273354508
107,0.01,53,PR,1.4539582613627764
108,0.01,54,PR,1.4598776813538064
109,0.01,55,PR,1.4655253391872052
110,0.01,1,TFF1,0.9700701658093464
111,0.01,2,TFF1,0.9796226112379735
112,0.01,3,TFF1,1.0042073134699363
113,0.01,4,TFF1,1.0389206304356282
114,0.01,5,TFF1,1.080159632099132
115,0.01,6,TFF1,1.1252976209735637
116,0.01,7,TFF1,1.1724281616669796
117,0.01,8,TFF1,1.2201721485794137
118,0.01,9,TFF1,1.2675361693057132
119,0.01,10,TFF1,1.3138098977963297
120,0.01,11,TFF1,1.358491922617332
121,0.01,12,TFF1,1.401235934572969
122,0.01,13,TFF1,1.4418114151226273
123,0.01,14,TFF1,1.4800745984849668
124,0.01,15,TFF1,1.515946834123162
125,0.01,16,TFF1,1.5493982377688376
126,0.01,17,TFF1,1.5804352527408039
127,0.01,18,TFF1,1.6090911316598095
128,0.01,19,TFF1,1.635418540309686
129,0.01,20,TFF1,1.6594839187670947
130,0.01,21,TFF1,1.681363127050011
131,0.01,22,TFF1,1.7011380756140158
132,0.01,23,TFF1,1.7188941979653705
133,0.01,24,TFF1,1.7347185378618817
134,0.01,25,TFF1,1.7486983305801014
135,0.01,26,TFF1,1.7609199746865871
136,0.01,27,TFF1,1.771468307283483
137,0.01,28,TFF1,1.7804261050381172
138,0.01,29,TFF1,1.7878737611798081
139,0.01,30,TFF1,1.7938890973040467
140,0.01,31,TFF1,1.7985472694526898
141,0.01,32,TFF1,1.8019207442851328
142,0.01,33,TFF1,1.8040793270859408
143,0.01,34,TFF1,1.8050902185818583
144,0.01,35,TFF1,1.805018092611359
145,0.01,36,TFF1,1.8039251867739066
146,0.01,37,TFF1,1.8018713978091496
147,0.01,38,TFF1,1.7989143756041137
148,0.01,39,TFF1,1.7951096149131733
149,0.01,40,TFF1,1.7905105424871373
150,0.01,41,TFF1,1.7851685978557954
151,0.01,42,TFF1,1.7791333070289446
152,0.01,43,TFF1,1.772452349434186
153,0.01,44,TFF1,1.765171617187807
154,0.01,45,TFF1,1.7573352725651372
155,0.01,46,TFF1,1.7489857942525922
156,0.01,47,TFF1,1.7401640243720167
157,0.01,48,TFF1,1.7309092074534933
158,0.01,49,TFF1,1.721259023154024
159,0.01,50,TFF1,1.71124962305008
160,0.01,51,TFF1,1.7009156633957536
161,0.01,52,TFF1,1.6902903325919083
162,0.01,53,TFF1,1.6794053813657432
163,0.01,54,TFF1,1.668291151101621
164,0.01,55,TFF1,1.6569766007096796
0,0.1,1,GREB1,0.9221148980250752
1,0.1,2,GREB1,0.9242708744326144
2,0.1,3,GREB1,0.9465957443701802
3,0.1,4,GREB1,1.0118971998523734
4,0.1,5,GREB1,1.1321781278170495
5,0.1,6,GREB1,1.3096573652351022
6,0.1,7,GREB1,1.54044619906922
7,0.1,8,GREB1,1.8170572132798744
8,0.1,9,GREB1,2.130067751476004
9,0.1,10,GREB1,2.469425923420769
10,0.1,11,GREB1,2.82546539836124
11,0.1,12,GREB1,3.189574455419951
12,0.1,13,GREB1,3.5545310102007797
13,0.1,14,GREB1,3.9145830119562213
14,0.1,15,GREB1,4.265368914127683
15,0.1,16,GREB1,4.603755129988712
16,0.1,17,GREB1,4.927641943013379
17,0.1,18,GREB1,5.2357679262098085
18,0.1,19,GREB1,5.527528769761956
19,0.1,20,GREB1,5.802818026949656
20,0.1,21,GREB1,6.061892202307753
21,0.1,22,GREB1,6.305259796945183
22,0.1,23,GREB1,6.53359265933189
23,0.1,24,GREB1,6.7476570341392295
24,0.1,25,GREB1,6.948261497888197
25,0.1,26,GREB1,7.1362189541043906
26,0.1,27,GREB1,7.312319963404007
27,0.1,28,GREB1,7.477315110914085
28,0.1,29,GREB1,7.631904177110987
29,0.1,30,GREB1,7.776730645618322
30,0.1,31,GREB1,7.912379951130065
31,0.1,32,GREB1,8.039380272146962
32,0.1,33,GREB1,8.158205151161972
33,0.1,34,GREB1,8.269277322402125
34,0.1,35,GREB1,8.372972989881783
35,0.1,36,GREB1,8.469626390393495
36,0.1,37,GREB1,8.559534395217764
37,0.1,38,GREB1,8.642960957015775
38,0.1,39,GREB1,8.72014122466444
39,0.1,40,GREB1,8.791285298217538
40,0.1,41,GREB1,8.856581645091602
41,0.1,42,GREB1,8.916200167826368
42,0.1,43,GREB1,8.970294909665801
43,0.1,44,GREB1,9.019006408019255
