"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"4"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.52713986891051
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"5"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.33512207073659
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"6"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.2265309451381
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"7"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.45022537241308
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"8"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.88591814539124
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"9"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.41210652207438
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"10"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.14729433380032
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"11"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.84901351356141
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"12"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.68652945870278
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"13"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.56788788638082
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"14"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.47573051045166
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"15"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.41904508905897
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"16"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.31343941056228
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"17"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.32821013297365
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"18"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.25699761587529
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"19"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.19095454502596
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"20"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.22488789664212
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"21"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.18958518704826
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"22"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.09396786494928
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"23"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.08086233578382
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"24"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	1.98306874386756
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"1"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	9.65560566411152
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"2"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	9.16592307200194
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"3"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	8.45924979631983
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"4"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.6108515357251
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"5"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.69456327286658
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"6"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.51421600555803
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"7"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.52583909241513
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"8"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.80664331633435
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"9"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.40152627246631
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"10"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.09235196918288
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"11"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.84040459907585
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"12"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.67670370256308
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"13"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.55831159828145
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"14"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.42517174716538
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"15"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.42991816248915
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"16"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.38168725587065
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"17"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.29370426564766
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"18"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.26387868478807
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"19"	"GREB1-GFP_mock"	"B02_3"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.23986917558015
