"","StateVar","replID","dose_uM","timeID","Real_GFP_intensity"
"129","PGR","1",1000,5,0.840834331500561
"130","PGR","1",10000,5,1.63069932895006
"131","PGR","2",0,5,1
"132","PGR","2",1e-04,5,0.830941733746443
"133","PGR","2",0.001,5,0.933191122225611
"134","PGR","2",0.01,5,0.823478404688488
"135","PGR","2",0.1,5,0.767761789808894
"136","PGR","2",1,5,0.704166548791511
"137","PGR","2",10,5,1.02190237046471
"138","PGR","2",100,5,1.0234195600162
"139","PGR","2",1000,5,1.0273711214379
"140","PGR","2",10000,5,0.95237814831452
"141","PGR","3",0,5,1
"142","PGR","3",1e-04,5,1.12740749201547
"143","PGR","3",0.001,5,0.924641996768938
"144","PGR","3",0.01,5,0.982074538444305
"145","PGR","3",0.1,5,1.17568273250008
"146","PGR","3",1,5,0.80976548791624
"147","PGR","3",10,5,1.04458859082984
"148","PGR","3",100,5,1.61186681445562
"149","PGR","3",1000,5,0.888944987281639
"150","PGR","3",10000,5,1.11109880327455
"151","PGR","1",0,6,1
"152","PGR","1",1e-04,6,0.905936741970777
"153","PGR","1",0.001,6,0.674989013089875
"154","PGR","1",0.01,6,1.18319610720251
"155","PGR","1",0.1,6,0.949402054201109
"156","PGR","1",1,6,0.960341242994954
"157","PGR","1",10,6,0.696815965087509
"158","PGR","1",100,6,1.04034289043952
"159","PGR","1",1000,6,0.938830815936036
"160","PGR","1",10000,6,1.68707374824632
"161","PGR","2",0,6,1
"162","PGR","2",1e-04,6,0.773852694733075
"163","PGR","2",0.001,6,0.938064080080602
"164","PGR","2",0.01,6,0.883812740727647
"165","PGR","2",0.1,6,0.739378554113736
"166","PGR","2",1,6,0.771763817780784
"167","PGR","2",10,6,0.977722187049191
"168","PGR","2",100,6,1.02320251708064
"169","PGR","2",1000,6,0.980202385317449
"170","PGR","2",10000,6,0.913771097200058
"171","PGR","3",0,6,1
"172","PGR","3",1e-04,6,1.07942173062491
"173","PGR","3",0.001,6,0.916924612169764
"174","PGR","3",0.01,6,1.00244783211792
"175","PGR","3",0.1,6,1.22516953326047
"176","PGR","3",1,6,0.793639815649417
"177","PGR","3",10,6,1.05692351689025
"178","PGR","3",100,6,1.64898761512415
"179","PGR","3",1000,6,0.936375557732951
"180","PGR","3",10000,6,0.952179679989044
"181","PGR","1",0,7,1
"182","PGR","1",1e-04,7,0.870348913734091
"183","PGR","1",0.001,7,0.671935302683047
"184","PGR","1",0.01,7,1.16176930342851
"185","PGR","1",0.1,7,1.05688929914623
"186","PGR","1",1,7,1.07696829652639
"187","PGR","1",10,7,0.722566265443731
"188","PGR","1",100,7,1.21212479177998
"189","PGR","1",1000,7,0.997025424858784
"190","PGR","1",10000,7,1.82724248989144
"191","PGR","2",0,7,1
"192","PGR","2",1e-04,7,0.754839756919727
"193","PGR","2",0.001,7,0.860980318955648
"194","PGR","2",0.01,7,0.890349534946019
"195","PGR","2",0.1,7,0.739100427028628
"196","PGR","2",1,7,0.825229963683307
"197","PGR","2",10,7,1.02688308301709
"198","PGR","2",100,7,1.13893022006583
"199","PGR","2",1000,7,0.943731729131992
"200","PGR","2",10000,7,0.962684081216649
"201","PGR","3",0,7,1
"202","PGR","3",1e-04,7,1.12783851659229
"203","PGR","3",0.001,7,0.960212042977682
"204","PGR","3",0.01,7,0.943504501420918
"205","PGR","3",0.1,7,1.09792726102083
"206","PGR","3",1,7,0.799131352290894
"207","PGR","3",10,7,1.03327765670027
"208","PGR","3",100,7,1.72913743951519
"209","PGR","3",1000,7,0.958786013503206
"210","PGR","3",10000,7,0.986578672251809
"211","PGR","1",0,8,1
"212","PGR","1",1e-04,8,0.85018860439549
"213","PGR","1",0.001,8,0.672595644107979
"214","PGR","1",0.01,8,1.09957174726925
"215","PGR","1",0.1,8,1.06808590960334
"216","PGR","1",1,8,1.16626581936285
"217","PGR","1",10,8,0.726213020058951
"218","PGR","1",100,8,1.31446925317899
"219","PGR","1",1000,8,1.04259060657395
"220","PGR","1",10000,8,1.87234891436943
"221","PGR","2",0,8,1
"222","PGR","2",1e-04,8,0.728057211331709
"223","PGR","2",0.001,8,0.861795602864392
"224","PGR","2",0.01,8,0.937977836715614
"225","PGR","2",0.1,8,0.780170927445195
"226","PGR","2",1,8,0.925838525546464
"227","PGR","2",10,8,1.03568057997372
"228","PGR","2",100,8,1.14120910781861
"229","PGR","2",1000,8,1.06933852246326
"230","PGR","2",10000,8,0.988634962594575
"231","PGR","3",0,8,1
"232","PGR","3",1e-04,8,1.0731910641563
"233","PGR","3",0.001,8,0.939440436090236
"234","PGR","3",0.01,8,0.874972660372317
"235","PGR","3",0.1,8,1.09728849666196
"236","PGR","3",1,8,0.816636599135059
"237","PGR","3",10,8,1.01203246592891
"238","PGR","3",100,8,1.4451183142734
"239","PGR","3",1000,8,0.998237980933189
"240","PGR","3",10000,8,0.963537764667121
"241","PGR","1",0,9,1
"242","PGR","1",1e-04,9,0.894271030659988
"243","PGR","1",0.001,9,0.690663111924376
"244","PGR","1",0.01,9,1.19779896240607
"245","PGR","1",0.1,9,1.2796152678768
"246","PGR","1",1,9,1.26625223044548
"247","PGR","1",10,9,0.903886857102156
"248","PGR","1",100,9,1.4850388514995
"249","PGR","1",1000,9,1.24048823800074
"250","PGR","1",10000,9,2.18072083156126
"251","PGR","2",0,9,1
"252","PGR","2",1e-04,9,0.732283177897742
"253","PGR","2",0.001,9,0.94053747124657
"254","PGR","2",0.01,9,0.999806642986259
"255","PGR","2",0.1,9,0.85446420259203
"256","PGR","2",1,9,0.998481987681164
"257","PGR","2",10,9,1.17206920718963
"258","PGR","2",100,9,1.20805122329097
"259","PGR","2",1000,9,1.1874671813706
"260","PGR","2",10000,9,1.05863310292368
"261","PGR","3",0,9,1
"262","PGR","3",1e-04,9,1.09246060903387
"263","PGR","3",0.001,9,0.950301454752786
"264","PGR","3",0.01,9,0.914703614093962
"265","PGR","3",0.1,9,1.19026309950475
"266","PGR","3",1,9,0.849121125441884
"267","PGR","3",10,9,1.08960392836856
"268","PGR","3",100,9,1.40011032768707
"269","PGR","3",1000,9,1.01417046041392
"270","PGR","3",10000,9,0.984448638529884
"271","PGR","1",0,10,1
"272","PGR","1",1e-04,10,0.907829850039481
"273","PGR","1",0.001,10,0.686050232938987
"274","PGR","1",0.01,10,1.29721915000101
"275","PGR","1",0.1,10,1.3508601237733
"276","PGR","1",1,10,1.30695830754708
"277","PGR","1",10,10,0.925760734219263
"278","PGR","1",100,10,1.52668057442288
"279","PGR","1",1000,10,1.30666844807617
"280","PGR","1",10000,10,2.24899837925329
"281","PGR","2",0,10,1
"282","PGR","2",1e-04,10,0.775199920552034
"283","PGR","2",0.001,10,0.941190405066256
"284","PGR","2",0.01,10,0.986855530329131
"285","PGR","2",0.1,10,0.886255326019874
"286","PGR","2",1,10,1.07657698355439
"287","PGR","2",10,10,1.26281196722167
"288","PGR","2",100,10,1.40436753145175
"289","PGR","2",1000,10,1.28675276829287
"290","PGR","2",10000,10,1.1354435125958
"291","PGR","3",0,10,1
"292","PGR","3",1e-04,10,1.0513619970087
"293","PGR","3",0.001,10,0.849905520641704
"294","PGR","3",0.01,10,0.859981016040459
"295","PGR","3",0.1,10,1.0286531068897
"296","PGR","3",1,10,0.815668223385753
"297","PGR","3",10,10,1.03220031780082
"298","PGR","3",100,10,1.46850765466973
"299","PGR","3",1000,10,0.944041154046245
"300","PGR","3",10000,10,0.906207278349709
"301","PGR","1",0,11,1
"302","PGR","1",1e-04,11,0.976511117965178
"303","PGR","1",0.001,11,0.696535641192529
"304","PGR","1",0.01,11,1.32628883877137
"305","PGR","1",0.1,11,1.40120510285027
"306","PGR","1",1,11,1.40505090417016
"307","PGR","1",10,11,1.0797421958303
"308","PGR","1",100,11,1.62860630947379
"309","PGR","1",1000,11,1.49312359227228
"310","PGR","1",10000,11,2.54917520673278
"311","PGR","2",0,11,1
"312","PGR","2",1e-04,11,0.654617951068302
"313","PGR","2",0.001,11,0.780019391080062
"314","PGR","2",0.01,11,0.984550193611135
"315","PGR","2",0.1,11,0.909674218844447
"316","PGR","2",1,11,1.08952210448482
"317","PGR","2",10,11,1.18350254146342
"318","PGR","2",100,11,1.4595314376587
"319","PGR","2",1000,11,1.30813989377365
"320","PGR","2",10000,11,1.12658073166196
"321","PGR","3",0,11,1
"322","PGR","3",1e-04,11,1.10091515976339
"323","PGR","3",0.001,11,0.880572176594569
"324","PGR","3",0.01,11,0.963906575860495
"325","PGR","3",0.1,11,1.10363126068006
"326","PGR","3",1,11,0.901701857022933
"327","PGR","3",10,11,1.23250010371862
"328","PGR","3",100,11,1.51789037288024
"329","PGR","3",1000,11,1.05879819895154
"330","PGR","3",10000,11,0.942884900524936
"331","PGR","1",0,12,1
"332","PGR","1",1e-04,12,1.09452917204506
"333","PGR","1",0.001,12,0.802579716804529
"334","PGR","1",0.01,12,1.38252827728718
"335","PGR","1",0.1,12,1.66545342537536
"336","PGR","1",1,12,1.71106357732607
"337","PGR","1",10,12,1.19261702172428
"338","PGR","1",100,12,2.01948486379892
"339","PGR","1",1000,12,1.82988347137053
"340","PGR","1",10000,12,2.87283602627303
"341","PGR","2",0,12,1
"342","PGR","2",1e-04,12,0.675980524423018
"343","PGR","2",0.001,12,0.775488335025012
"344","PGR","2",0.01,12,1.00827655258387
"345","PGR","2",0.1,12,0.939530032991859
"346","PGR","2",1,12,1.07306711501141
"347","PGR","2",10,12,1.20105740143867
"348","PGR","2",100,12,1.53019215811347
"349","PGR","2",1000,12,1.354595964378
"350","PGR","2",10000,12,1.18268865146428
"351","PGR","3",0,12,1
"352","PGR","3",1e-04,12,1.15558496361803
"353","PGR","3",0.001,12,0.895979552272309
"354","PGR","3",0.01,12,1.01546378097451
"355","PGR","3",0.1,12,1.1726063505875
"356","PGR","3",1,12,0.908615805690088
"357","PGR","3",10,12,1.29710829531513
"358","PGR","3",100,12,1.5175590755758
"359","PGR","3",1000,12,1.14242296977331
"360","PGR","3",10000,12,1.07796183301136
"361","PGR","1",0,13,1
"362","PGR","1",1e-04,13,0.987212518782344
"363","PGR","1",0.001,13,0.753603444298485
"364","PGR","1",0.01,13,1.42987287166754
"365","PGR","1",0.1,13,1.76992040525224
"366","PGR","1",1,13,1.7362604522541
"367","PGR","1",10,13,1.27546842884706
"368","PGR","1",100,13,2.20151054854786
"369","PGR","1",1000,13,1.98816510963655
"370","PGR","1",10000,13,2.7661684065952
"371","PGR","2",0,13,1
"372","PGR","2",1e-04,13,0.754545030701999
"373","PGR","2",0.001,13,0.810337420227136
"374","PGR","2",0.01,13,1.10706449562484
"375","PGR","2",0.1,13,1.08913384166222
"376","PGR","2",1,13,1.26559218669475
"377","PGR","2",10,13,1.3848503763376
"378","PGR","2",100,13,1.74554512830706
"379","PGR","2",1000,13,1.6327414138189
"380","PGR","2",10000,13,1.36332322000287
"381","PGR","3",0,13,1
"382","PGR","3",1e-04,13,1.12154353719622
"383","PGR","3",0.001,13,0.902897022684389
"384","PGR","3",0.01,13,1.01311633105516
"385","PGR","3",0.1,13,1.11212232670388
"386","PGR","3",1,13,0.911379806097751
"387","PGR","3",10,13,1.30535170055384
"388","PGR","3",100,13,1.46939774733173
