"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"4"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.49778567943748
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"5"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.4582713335295
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"6"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.36912473848679
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"7"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.97621959290943
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"8"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.21535672130564
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"9"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.86111248698862
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"10"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.74347145217351
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"11"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.81787292965514
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"12"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.45785582554805
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"13"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.3452809006126
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"14"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.40009161779446
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"15"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.6423430971174
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"16"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.46656691392566
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"17"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.54717620884251
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"18"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.69861168222215
