"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"5"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.709493430197303
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"6"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.596141749872119
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"7"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.840228878738833
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"8"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.792246791281974
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"9"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.969531504905935
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"10"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.800813023768904
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"11"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.06532680052732
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"12"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.874601939573257
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"13"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.997387390675632
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"14"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.02879735487324
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"15"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.788353899012936
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"16"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.00038171416603
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"17"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.87394927281473
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"18"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.710689235550966
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"19"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.95153643028866
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"20"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.949732785451852
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"21"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.12372321008357
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"22"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.71992357410326
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"23"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.06153470866328
