"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"4"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	19.1925300607192
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"5"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	18.5558967451169
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"6"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	17.6374055730094
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"7"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	16.8805772889911
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"8"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	16.017026766556
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"9"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	15.4680629114034
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"10"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.9426476411444
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"11"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.6508454297691
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"12"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.4346318115017
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"13"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.3994318328919
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"14"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.1603668034863
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"15"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.1253819111496
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"16"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.0817139149012
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"17"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.1370370656923
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"18"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.9711440429921
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"19"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.6905028189184
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"20"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.8115681609387
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"21"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.9385906257534
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"22"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.5049645225371
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"23"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.350768737262
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"24"	"GREB1-GFP_mock"	"B02_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.5020883906926
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"1"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.7014888179497
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"2"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.164960448242
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"3"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.4601224538163
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"4"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.8394804004237
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"5"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.9149537110875
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"6"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.76416849962
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"7"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.4756197648179
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"8"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.5326932162805
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"9"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.4918748400805
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"10"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.4639183773976
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"11"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.6078659463239
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"12"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.2904201325386
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"13"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.3559876793986
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"14"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.1508533528569
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"15"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.3079772610878
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"16"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.4023820953802
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"17"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.2796456901687
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"18"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.0396734010586
