"","well_name","condition","dose_uM","treatment","cell_line"
"1","B02","DMSO",0,"untreated","FUCCI"
"2","B03","DMSO",0,"untreated","FUCCI_WT"
"3","C02","10pM",1e-05,"untreated","FUCCI"
"4","C03","10pM",1e-05,"untreated","FUCCI_WT"
"5","D02","1nM",0.001,"untreated","FUCCI"
"6","D03","1nM",0.001,"untreated","FUCCI_WT"
"7","E02","100nM",0.1,"untreated","FUCCI"
"8","E03","100nM",0.1,"untreated","FUCCI_WT"
