row,col,pos,loc,well_name,well_name_p
B,2,1,01,B02,B02_1
C,2,1,13,C02,C02_1
D,2,1,17,D02,D02_1
E,2,1,29,E02,E02_1
B,3,1,05,B03,B03_1
C,3,1,09,C03,C03_1
D,3,1,21,D03,D03_1
E,3,1,25,E03,E03_1
B,2,2,02,B02,B02_2
C,2,2,14,C02,C02_2
D,2,2,18,D02,D02_2
E,2,2,30,E02,E02_2
B,3,2,06,B03,B03_2
C,3,2,10,C03,C03_2
D,3,2,22,D03,D03_2
E,3,2,26,E03,E03_2
B,2,3,03,B02,B02_3
C,2,3,15,C02,C02_3
D,2,3,19,D02,D02_3
E,2,3,31,E02,E02_3
B,3,3,07,B03,B03_3
C,3,3,11,C03,C03_3
D,3,3,23,D03,D03_3
E,3,3,27,E03,E03_3
B,2,4,04,B02,B02_4
C,2,4,16,C02,C02_4
D,2,4,20,D02,D02_4
E,2,4,32,E02,E02_4
B,3,4,08,B03,B03_4
C,3,4,12,C03,C03_4
D,3,4,24,D03,D03_4
E,3,4,28,E03,E03_4
